word,self-sim
Titel,0.726785381237963
Tier,0.797113931127483
Manschette,0.875697535749466
Kubikmeter,0.846016477477485
Entscheidung,0.792137877954323
vergönnen,0.888091956847741
aufrechterhalten,0.856903347502565
Fuß,0.710638793625329
Sensation,0.837983140744387
Seminar,0.836314791616736
Unentschlossenheit,0.881417285564334
Gesichtsausdruck,0.853177440934529
abbauen,0.849915651073806
vorliegen,0.809169472624205
Lyzeum,0.878474326871468
packen,0.764300757825755
Festspiel,0.880955623691736
Truppenteil,0.855889812903968
vorweisen,0.845678699729552
Armenhaus,0.870430488593995
Spielball,0.856765763078417
Tragfähigkeit,0.848727614801866
voranstellen,0.84747813902924
verbauen,0.793711856491267
Mulatte,0.854970799714908
abdecken,0.812524648857661
Rezeption,0.775056048121424
Ausnahmegesetz,0.861511932409395
Pachtzins,0.892736253104345
Eintagsfliege,0.888253040736507
ausspannen,0.840188097865718
Knotenpunkt,0.821795707674092
überspannen,0.84055142711545
Engpaß,0.85537102535947
Dynamik,0.81063271461308
Frechheit,0.842397422789049
zersetzen,0.817146088807518
Schmiere,0.821060814550429
artikulieren,0.833076492323399
weitgreifend,0.853674196400416
beimischen,0.84763374002851
Naturschönheit,0.871146677986241
Abgesang,0.828037353668141
Mißklang,0.859351385524718
Ackergerät,0.859308708830288
Ohrwurm,0.850077505150422
abgebrüht,0.859178660222248
Einreichung,0.837719765151525
