word,self-sim
Tier,0.830540133993402
Fuß,0.715654054985688
Entscheidung,0.810433480747501
packen,0.776142094372625
Tragfähigkeit,0.851141244792249
beimischen,0.818241851062063
Titel,0.759104288025401
Mulatte,0.867248400018829
Truppenteil,0.863480299572671
Frechheit,0.834796906974027
vorliegen,0.805009194221705
abbauen,0.817531140893698
ausspannen,0.828228069818455
vergönnen,0.842081019496892
zersetzen,0.819226519836309
Sensation,0.807936623869295
Spielball,0.861193342734191
Ausnahmegesetz,0.860306847590163
vorweisen,0.834539282180637
Rezeption,0.791352565734073
Lyzeum,0.857863098680729
voranstellen,0.814298340829676
Einreichung,0.826436943752873
abdecken,0.836152380497258
Armenhaus,0.845617348203565
Kubikmeter,0.807346788681492
Manschette,0.864427049933818
Schmiere,0.816805826891414
Knotenpunkt,0.80273899636955
Naturschönheit,0.869131479756395
Mißklang,0.828988284726479
Gesichtsausdruck,0.862368336443854
Abgesang,0.840301844490697
Dynamik,0.807813355766359
Festspiel,0.865282316986395
verbauen,0.776633437256069
Seminar,0.824145316539749
Unentschlossenheit,0.876675629511214
weitgreifend,0.844663934870845
artikulieren,0.820736735972099
Ackergerät,0.86471995046056
Eintagsfliege,0.855252549313662
überspannen,0.803465189392416
abgebrüht,0.867553584336761
aufrechterhalten,0.800188185224211
Ohrwurm,0.812689923858031
Pachtzins,0.874520094047191
Engpaß,0.840782798017249
